x(m)           y(m)           x(m)           lat(degs)      lon(degs)      heading(rads)  pitch(rads)    roll(rads)     
-58992.50000   9900.00000     1200.00000     33.58738       35.36218       1.57080        0.00000        0.00000        
-58757.50000   9900.00000     1200.00000     33.58739       35.36471       1.57080        0.00000        0.00000        
-58522.50000   9900.00000     1200.00000     33.58740       35.36724       1.57080        0.00000        0.00000        
-58287.50000   9900.00000     1200.00000     33.58741       35.36977       1.57080        0.00000        0.00000        
-58052.50000   9900.00000     1200.00000     33.58743       35.37230       1.57080        0.00000        0.00000        
-57817.50000   9900.00000     1200.00000     33.58744       35.37483       1.57080        0.00000        0.00000        
-57582.50000   9900.00000     1200.00000     33.58745       35.37736       1.57080        0.00000        0.00000        
-57347.50000   9900.00000     1200.00000     33.58746       35.37989       1.57080        0.00000        0.00000        
-57112.50000   9900.00000     1200.00000     33.58748       35.38242       1.57080        0.00000        0.00000        
-56877.50000   9900.00000     1200.00000     33.58749       35.38496       1.57080        0.00000        0.00000        
-56642.50000   9900.00000     1200.00000     33.58750       35.38749       1.57080        0.00000        0.00000        
-56407.50000   9900.00000     1200.00000     33.58751       35.39002       1.57080        0.00000        0.00000        
-56172.50000   9900.00000     1200.00000     33.58753       35.39255       1.57080        0.00000        0.00000        
-55937.50000   9900.00000     1200.00000     33.58754       35.39508       1.57080        0.00000        0.00000        
-55702.50000   9900.00000     1200.00000     33.58755       35.39761       1.57080        0.00000        0.00000        
-55467.50000   9900.00000     1200.00000     33.58756       35.40014       1.57080        0.00000        0.00000        
-55232.50000   9900.00000     1200.00000     33.58758       35.40267       1.57080        0.00000        0.00000        
-54997.50000   9900.00000     1200.00000     33.58759       35.40520       1.57080        0.00000        0.00000        
-54762.50000   9900.00000     1200.00000     33.58760       35.40773       1.57080        0.00000        0.00000        
-54527.50000   9900.00000     1200.00000     33.58761       35.41026       1.57080        0.00000        0.00000        
-54292.50000   9900.00000     1200.00000     33.58762       35.41279       1.57080        0.00000        0.00000        
-54057.50000   9900.00000     1200.00000     33.58764       35.41533       1.57080        0.00000        0.00000        
-53822.50000   9900.00000     1200.00000     33.58765       35.41786       1.57080        0.00000        0.00000        
-53587.50000   9900.00000     1200.00000     33.58766       35.42039       1.57080        0.00000        0.00000        
-53352.50000   9900.00000     1200.00000     33.58767       35.42292       1.57080        0.00000        0.00000        
-53117.50000   9900.00000     1200.00000     33.58768       35.42545       1.57080        0.00000        0.00000        
-52882.50000   9900.00000     1200.00000     33.58770       35.42798       1.57080        0.00000        0.00000        
-52647.50000   9900.00000     1200.00000     33.58771       35.43051       1.57080        0.00000        0.00000        
-52412.50000   9900.00000     1200.00000     33.58772       35.43304       1.57080        0.00000        0.00000        
-52177.50000   9900.00000     1200.00000     33.58773       35.43557       1.57080        0.00000        0.00000        
-51942.50000   9900.00000     1200.00000     33.58774       35.43810       1.57080        0.00000        0.00000        
-51707.50000   9900.00000     1200.00000     33.58775       35.44063       1.57080        0.00000        0.00000        
-51472.50000   9900.00000     1200.00000     33.58776       35.44316       1.57080        0.00000        0.00000        
